,role,firm,location,jd,time_ago
496,"Data Management Manager ( ACS Servicing (Thailand) Co.,Ltd. )","ÆON Thana Sinsap (Thailand) Public Co., Ltd.",สวนหลวง,"Strong ability to manage multi-taskLogical thinking , data analytic knowledge SkillsUnderstand in statistic, economic, technology",4d ago
497,Data Scientist (VP level),CIMB Thai Bank,Pathumwan,Head Office based in Chidlom area (BTS)Annual Leave start from 17 Days/yearExperience using statistical computer languages,6d ago
498,System Analyst - WFH & ลาดพร้าว-ทาวน์อินทาวน์,Tech BaseCamp,วังทองหลาง,system analystlogiccritical thinking,20h ago
499,Business Intelligence Manager,"CGP (Thailand) Co., Ltd.",Bangkok,"3+ years in Business Intelligence / Data AnalystProficient in Python, R, SQLHybrid working model",6d ago
500,Online Marketing Officer (SEO),"EDM Corporation Co., Ltd.",บางกอกน้อย,seodigital marketingonline marketing,20h ago
501,Operation Planning and Analyst,Chep (Thailand) Ltd.,จังหวัดอื่นๆ,Data Analyst and ReportSupply Chain PlanningGood Benefit and High Salary Package,5d ago
502,Business Analyst – Customer Experience,Bangkokbank (BBL),บางคอแหลม,ปริญญาตรีสาขาวิศวกรรมคอมพิวเตอร์ประสบการณ์ตำแหน่งนักวิเคราะห์ธุรกิจอย่างน้อย 2 ปีCustomer Experience,4d ago
503,Portfolio Management Officer,Bangkokbank (BBL),Bangrak,numeric analyticsystem thinking5 minutes walk from BTS/MRT,20h ago
504,Business Analyst Manager,"Vespiario (Thailand) Co., Ltd.",Huaykwang,"Above 7 year experience in business system analystData analysis using SQL and other toolsERP:microsoft dynamic 365 , CRM:salesforce",4d ago
505,Sales Analyst (Alcohol industry),"Brewberry Co., Ltd.",Wattana,High skill level in ExcelGood in English conversation and writingPresentation skills,6d ago
506,Business Analyst (ID: 552179),"BTI Executive Placement (Thailand) Co., Ltd.",ชลบุรี,Inventory and Manufacturing CostSolid knowledge of generally accepted accounting pFluent in English,5d ago
507,"AI & Machine Learning Engineer (Digital Manufacturing) , Chemicals Business",The Siam Cement Public Company Limited (SCG),ระยอง,"Apply statistical, optimization, and ML to  largeR&D new advanced technology and modeling techniqueKnowledge in existing&emerging Data Analytics tool",4d ago
508,Data Engineer (OFSAA & IFRS9 Project),Bangkok Bank Public Company Limited,ยานนาวา,"data engineer, OFSAA, IFRS9etl, power bi, cubeBusiness Intelligence",4d ago
509,Business Analyst and Architecture Design,Krungsri Consumer,Pathumwan,"Assist business to design the technical solutionKnowledge in IT common terms, logic to DevelopLocation: BTS Ploenchit with Hybrid working",5d ago
510,System Analyst,CTC Global (Thailand) Ltd.,Klongtoey,"วิเคราะห์ Business Requirement,นักวิเคราะห์ระบบ.Knowledge (Oracle/ MSSQL/ PostgreSQL/ MySQL).Location near MRT. Queen Sirikit , Global company.",3d ago
511,Financial Analyst (Manager to AVP level),BOUND AND BEYOND PUBLIC COMPANY LIMITED,Pathumwan,"Bachelor's Degree or higher in Finance, Accounting3-5 years working experience in business financeStrong quantitative and analytical competency",3d ago
512,Junior/Senior Researcher,MOCAP Limited,Rajthevee,"Bachelor’s degree in marketing, mass communicationEnergetic, Positive Attitude and Well-OrganizedExperience 1-2 years of marketing research is plus",20h ago
513,Business Analyst,"Lansing Business Systems Co., Ltd.",Bangkok,3 year experience as business analystKnowledge AgileBachelor’s degree or higher in computer science,6d ago
514,System Operator-Data Center,บริษัท ดาต้าโปร คอมพิวเตอร์ ซิสเต็มส์ จำกัด,Pravet,Monitor and Operate Data Centers Critical functionConduct both of Job RoutinesCommunicate regularly with peer Technicians,3d ago
515,"Manager, Business Intelligence - LazPay",Lazada  Ltd.,Wattana,SQLBusiness Intelligencedata analytic,6d ago
516,Data Engineer - True Analytics,"True Digital Group Co., Ltd.",Prakanong,Hybrid wokNear BTSCompetitive Salary,4d ago
517,Data Engineering Lead,Central Retail,Bangrak,"data pipeline, ETL, ELT, data transformationGoogle BigQuery, Spark, AirflowData Engineer",4d ago
518,Information Technology Staff (IT)/เจ้าหน้าที่สนับสนุนเทคโนโลยีสารสนเทศ,AGC Flat Glass (Thailand) Public Company Limited,Phrapradaeng,ITIT developerData analysis,15h ago
519,CRM Analytics and Strategy Division Manager,"C.J. Express Group Co., Ltd.",Bangrak,CRM management3-5 years of experience in Digital Marketing5 days working (9.00-18.00),4d ago
520,Business Analyst,"Shopee (Thailand) Co., Ltd.",Bangkok,Lead a business development & projectsExperience in Retail strategy is a plusStrong Data Analytics,7d ago
521,Associate Director - Management  Information System (MIS),Allianz Ayudhya Assurance Public Company Limited,Bangkok,Leading MIS teamExperience in MIS for projectsMIS report,5d ago
522,Finance Manager – Data Visualization,Lotus's,Beungkum,"Develop and test functional designsHighly proficient in Excel's Pivot table, FormulaeExperience in Data Analytic, Data Visualization",6d ago
523,Consumer Research Officer/เจ้าหน้าที่ Consumer Research Officer,"I.P. One Co., Ltd.",Sapan-suang,Keen in quantitative and qualitative researchExcellent statistic analysisGood presentation skill,5d ago
524,Customer Relationship (Specialist ),Thai Life Insurance Public Company Limited,Dindaeng,Control timeline and budgetMarketing / Project control / CampaignData Analyst,6h ago
525,Data Science Engineer,Transitions Optical (Thailand) Limited,Chonburi,"Experiences in automated system and CI Projects.Experience in big data analysis, data science.Ability to develop a programming skill",1d ago
526,Data Management/Analytics Support (Manager Level),"Vanness Plus Consulting Co., Ltd.",Bangkok,,4d ago
527,Controller / Financial Analyst (Chonburi),"Fabrinet Co., Ltd.",Chonburi,"Financial analysisBusiness analysis, Cost Controlfixed asset, Financial report",3d ago
528,Data Engineer,"Bangkok Smartcard System Co., Ltd.",Bangkok,"Data analytics techniques, Data integrationExperience with AWS cloudsCompetitive salary with high benefits",3d ago
529,AVP Sales Performance Management,"SCB PROTECT CO., LTD.",Jatuchak,"5 yrs exp. in Business Analyst,Performance AnalystStrong in SQL, Microsoft Office, VB, Advance BIResult driven & Service minded personalities",6d ago
530,Data Analytics Auditor,Krungsri Bank (Bank of Ayudhya PCL.),Yannawa,"10 years of Data Analytics experiences in AuditStrong in Data Analytics skills & techniquesTools: SQL,Alteryx,Tableau,Power BI,VBA,R,Python",7d ago
531,Business System Analyst,"Going Jesse Co., Ltd.",Kannayao,,5d ago
532,Business Analyst,Muang Thai Insurance Public Company Limited,Huaykwang,5ys of exp. in role of Business/System AnalystExp. in Non-Life Insurance is preferedExperience in Large scale project ie. Core system,6d ago
533,Data Management Officer,"Ngernturbo Co., Ltd. / บริษัท เงินเทอร์โบ จำกัด",Prakket,Work with top-tier toolsWork in Lakehouse architectureData governance focus,4d ago
534,Business Data Strategy Specialist,Pruksa Real Estate Public Company Limited,Phayathai,Business AnalystData StrategyExperience in Data Management /Governance Strate,5d ago
535,Data Engineer (ETL Developer),Thai Life Insurance Public Company Limited,Dindaeng,Work from HomeNear by MRT ศูนย์วัฒนธรรมFlexible working hours,4d ago
536,Network Acquisition Analyst (Location)/เจ้าหน้าที่วิเคราะห์และพัฒนาเครือข่าย,PTT Retail Management Company Limited,Jatuchak,"Network Development,Land lord,Research Institution3 years of experience in real estate managementHave a driving license",3d ago
537,Product Development (Business Analyst),"Shopee (Thailand) Co., Ltd.(Shopee Xpress)",Rajthevee,Product OwnerProduct ManagementBusiness Analyst,5d ago
538,Metadata Management Specialist,"Siam Commercial Bank Public Co., Ltd.",Jatuchak,Metadata Management SpecialistData Governance and Quality Controldata management,6d ago
539,Database Administrator,RS Group,Jatuchak,"Database Administration (DBA) ( Junior / Senior )Maintains, Monitors, Analyzes database performanceSQL fundamentals",15h ago
540,"Data Scientist / Upto 60K / Town in Town, Ladprao","PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Wangthonglang,"3-5 Years in Data Analytics, Data Mining, Data SciAdvanced Excel skills and BI ToolsComputer language such as SQL, PHP and Python",6d ago
541,Business Partnership--Fresh Graduate/Entry Level: F/T or Contract and GameMaster and GameBanker,The Praxis Company (Thailand),Sathorn,Fun and Family-Like Work EnvironmentLearning Curve and Growth MindsetFast Track for Management,15h ago
542,Credit Control & Customer Analytics officer,Bank of Ayudhya Public Company Limited,Pathumwan,"SQL, Oracle, R, Python, Tableau, Power Bi, UI pathCustomer Data AnalysisPython libraries",6d ago
543,"Operations Analyst, South & South-East Asia/นักวิเคราะห์การปฏิบัติการ แถบเอเชียใต้และเอเชียตะวันออกเฉียงใต้","Lavie Hotels & Resorts (Thailand) Co., Ltd.",Pathumwan,,3d ago
544,Senior System Analyst,Adecco Recruitment (Thailand) Limited,Huaykwang,5-10 years relevant System Analyst experienceExperience in System Analysis DesignStrong analytical & technical skill,20h ago
545,Full Stack / Backend Engineer - Data Platform (Junior to Mid-level),Kiatnakin Phatra Securities Public Company Limited,Huaykwang,Bachelor's degree in Computer Science2 years of experience with software developmentExperience with Data platform,4d ago
546,Financial Analyst,Baker Tilly Corporate Advisory Services (Thailand) Limited,Sathorn,Finance / AccountingHybrid Working & Flexi-HoursGood command in English,4d ago
547,Data Analytic Manager (Tele Sales Unit),Krungsri Consumer,Pathumwan,"Analyzing data and roadmap, Automate processPython/access/sql/marco/power bi/tableauTelemarketing business knowledge is a plus",6d ago
548,Business Analyst,B.Grimm MBM Metalworks Ltd.,Bangkapi,"Business analysis, Exceptional analyticalPlanning, Organizational, Time ManagementTeam Leading and developing",6d ago
549,Lead System Analyst (Logistic Management Platform),Adecco Recruitment (Thailand) Limited,Jatuchak,"System design, Implementation, and IntegrationERP Software ExperienceSoftware Platform",20h ago
550,IT - Business Data Consultant,"MC Thai Co., Ltd.",Pathumwan,Business Data warehouse lead2-3 years experiences in related fieldsUnderstand Relational Database concept,6d ago
551,Director of Quantitative Investment Department,"Tech Globe Co., Ltd.",Phayathai,"Bachelors, Masters, or PhD in Computer ScienceExpert in programing, Python, C, C++Expert in Data Analyze, Big Data",5d ago
552,Research Scientist,THAI UNION GROUP PCL.,Phayathai,"Science, Food Science,Biochemistry, Bio-TechnologyExperience in research and developmentSkills in laboratory analysis, basic statistics",6h ago
553,Programmer Analyst (VB.net / VB6) New Grad!!,Regional Container Lines Public Company Limited,Yannawa,"Work From Home 50% (rama3)New grad welcome - Good Benefit, Good SalaryOracle, SQL, VB.net, VB6",20h ago
554,Machine Learning Engineer,LINE MAN Wongnai,Klongtoey,"Basic understanding of DevOps2+ years on hand-on development codingStrong SQL skills, especially in the area of data",5h ago
555,Risk Management Analyst,"Ngernturbo Co., Ltd. / บริษัท เงินเทอร์โบ จำกัด",Prakket,"Risk Management, Portfolio & Loan ProcessMaster’s degree scholarshipKnowledge on SQL, Power BI will be a plus",20h ago
556,Production Analyst,FANATICS INC,Pathumwan,Command of written and spoken English and Thai isAbility to travel to factories throughout AsiaBasic textile and construction knowledge,3d ago
557,Data Engineer and ETL Developer,CIMB Thai Bank,Pathumwan,80% Work From HomeWork Mon-FriBTS Chitlom,5d ago
558,System Analyst / Business Analyst on site Chaengwattana,"Vanness Plus Consulting Co., Ltd.",Bangkok,,4d ago
559,Data Scientist (Egg Data and Media),"Ascend Group Co., Ltd.",Bangkok,Data ScienceData AnalystFlexible Hours,7d ago
560,Technical Programme Manager - Data Engineer,Lotus's,Beungkum,"Deploy New Data Pipeline / Dashboard / ModelBig Data, Data Pipelines, ArchitecturesExperience in data pipelines",4d ago
561,Assistant Data Engineer Manager,Ananda Development Public Company Limited,Klongtoey,SQLPythonAnalysis Service,5d ago
562,Finance Analyst - Specialist / Manager,Manpower Group Thailand,Rayong,"Having experience in Controller 5 yearsCAPEX ,NWC experienceEnglish Good communication",20h ago
563,System Analyst,"Silkspan Insurance Brokerage Co., Ltd.",Wattana,System AnalystTech CompanyTeam Work,20h ago
564,Business Analyst - Rayong,Adecco Recruitment (Thailand) Limited,Rayong,Bachelor’s degree in Accounting and FinanceHaving experience in Controller more than 5 yearsStrong communication/interpersonal skills,6d ago
565,Market analyst,BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED,Jatuchak,"experienced equity analysis,business developmentexperienced in Investment BankingGreat command in English",4d ago
566,Business Operations Analyst (Demand Planner),Becton Dickinson (Thailand) Ltd.,Pathumwan,2 years demand and planning experienceStrong communication and interpersonal skillsGreat career development opportunities!,15h ago
567,Performance Management and MIS : Senior Officer - AM,Kiatnakin Phatra Bank Public Company Limited,Wattana,ร่วมออกแบบ Dashboard และพัฒนารายงานบน Power BIจัดทำรายงานผลการปฏิบัติงาน (KPIs)รวบรวมข้อมูล และรายงานผลการปฏิบัติงาน,5d ago
568,Data Engineer & Developer/วิศวกรวิเคราะห็ข้อมูล,Phelps Dodge International (Thailand) Limited,Pathumwan,"Computer ScienceDate Engineer ,Data WarehouseSAP System",4d ago
569,Business Channel Experience Specialist/ผู้เชียวชาญงานพัฒนาประสบการณ์ช่องทางธุรกิจ,KASIKORNBANK PUBLIC COMPANY LIMITED,Ratburana,Digital Transformation/Project Managementพัฒนากระบวนการ ระบบและเครื่องมือสำหรับช่องทางสาขาCustomer Experience Analyst,12h ago
570,Data Analytics Audit Manager - Senior Manager,Kiatnakin Phatra Bank Public Company Limited,Wattana,Develop methodologies & tools for analyticsProject management and implementationManage a portfolio of advisory and audit analytics,5d ago
571,Application Support Analyst,Bualuang Securities Public Company Limited,Bangrak,"2-years work experience in software developmentGood command of written and spoken English5 Days Working , Bonus , Health insurance , etc.",15h ago
572,Data Engineer,"Kasikorn Leasing Co., Ltd.",Phayathai,"At least 2 years of experience in Data EngineerDatabase Design, Data Integration, Data WarehouseSQL Expert",4d ago
573,Strategy & Insights Manager,Central JD Commerce Limited.,Huaykwang,"consumer research, market intelligence, consultingOwn competition insights from a category, customerexperience with either SQL, Tableau,  R or similar",4d ago
574,Fraud System Operation,Central JD Commerce Limited.,Huaykwang,Experience in risk control of ecommerce businessBuild and optimize monitor rules of users / orderGood command knowledge of SQL,4d ago
575,Analyst for Finance System/ Nonthaburi,Adecco Recruitment (Thailand) Limited,Bangkok Area - Nonthaburi,"MNC Company with Good command of EnglishCOGNOS, D365 & SQL experienceAble to work in Nonthaburi",3d ago
576,Financial Analyst (Planning),Thoresen Thai Agencies Public Company Limited( PH Capital ),Bangkok,Expert in Excel and able to create templateHas business sense and logical thinkingWorking proficiency of Big Data Analytics,5d ago
577,Senior Equity Analyst,Kiatnakin Phatra Securities Public Company Limited,Wattana,"Bachelor’s degree in Finance/Economics/AccountingUnderstanding of equity market, equity valuationAn advanced level of Excel proficiency",4d ago
578,Financial Resource Management Analyst/ผู้เชี่ยวชาญงานวิเคราะห์ทรัพยากรทางการเงิน,KASIKORNBANK PUBLIC COMPANY LIMITED,Ratburana,resource allocationfinancial analystable to work at Ratburana,4d ago
579,IT Specialist - Data Operation Management Support,Advanced Info Service Public Company Limited (AIS),Phayathai,DataOperationIT Support,4d ago
580,Data Governance and Policy Specialist,"Siam Commercial Bank Public Co., Ltd.",Jatuchak,data managementData Governance and Quality ControlData Governance and Policy Specialist,6d ago
581,Application Designer (System Analyst),Accenture Thailand,Bangkok,IT ConsultancyMultiple openingsWelcome candidates across all levels,3d ago
582,"Senior Analyst/ Associate, Business Intelligence - Lazpay",Lazada  Ltd.,Wattana,"Attractive salary package and company benefitCompany located in shopping mall, BTS PromtpongMulti-international work environment",6d ago
583,Marketing Analyst (1yrs+ in Marketing Analysis/ Exp in Automobile/ Good in English)*BANGNA*,"SMARTCRUIT CONSULTANT RECRUITMENT CO., LTD.",Bangkok,1 years of experience in Marketing AnalysisAutomobile or auto parts is a plusGood command of English,3d ago
584,Senior Data Scientist & Machine Learning,Bangkok Bank Public Company Limited,Bangrak,"Team Lead data scientistMachine LearningData Model, Data Mining",4d ago
585,Senior Customer Insights Manager,Central Retail Corporation (CRC Talent Acquisition),Prakket,Create research plansResearch/Insight projectsConduct various type of market research,3d ago
586,Inventory Analyst,NES Fircroft (Thailand) Ltd.,Chonburi,Oil & GasMultinational companyWarehouse,15h ago
587,Business Analyst / Controller,"Robert Bosch Automotive Technologies (Thailand) Co., Ltd.",Rayong,University degree in Finance5 years+ professional experience in Business UnitFluent in English,5d ago
588,Data Engineer/วิศวกรข้อมูล,"Sourcecode Co., Ltd.",Dindaeng,,4d ago
589,System Analyst,G-Able Company Limited,Bangkok,Helps to establish a high-performing agile teamWork from Anywhere + flexible hourBelieve as a Power of Teamwork,4d ago
590,CRM Data Analytics/ Database manager,Central Group (Centara Hotels & Resorts),Pathumwan,At least 3 years of exp. in CRMBA degree in IT with business or related fieldsBusiness or systems analysis exp.,5d ago
591,System Analyst/ Programmer Analyst,Advanced Info Service Public Company Limited (AIS),Phayathai,"System Analyst, Programmer AnalystSkills in Java, C#, PL/SQL, and UNIXSkills in Database, Oracle, SQL",1d ago
592,Investment Analyst (SCG Distribution),The Siam Cement Public Company Limited (SCG),Bangsue,"Investment AnalystFinancial Project, Financial report analysisStrong multitasking skills",4d ago
593,Data Scientist/นักวิทยาศาสตร์ข้อมูล,"AIGEN CO., LTD.",Huaykwang,"Min. Bachelor, 2-8 yr experienceProvident fund, healthcare benefitExciting AI/ML growth in healthcare/insur tech biz",6d ago
594,"SQL,Power BI (planning engineer, data engineer)(EPC)",NES Fircroft (Thailand) Ltd.,Rayong,Excellent in EnglishGood Knowledge of Primavera P6Experience in oil and gas construction,4d ago
595,Business Analyst,"FPT Software (Thailand) Co.,Ltd.",Sathorn,"Business Analyst, BOT,Banking, Health Platformmulti-tasking and prioritizingAt least 5 year in BA",6d ago
596,Credit Profolio Management and MIS Manager (Credit Risk Management),"Vanness Plus Consulting Co., Ltd.",Bangkok,,4d ago
597,Data Engineer,Accenture Thailand,Bangkok,"SQL, Databricks, Data Warehouse, Data LakeDiverse clients and new technologiesData Engineer in consulting company",4d ago
598,Quantitative Investment Researcher,"Tech Globe Co., Ltd.",Phayathai,"Bachelors, Masters, or PhD in Computer ScienceExpert in programing, Python, C, C++Expert in Data Analyze, Big Data",5d ago
599,Data Scientist_Credit Scoring & Modeling Manager (True Money) Urgently!!!,"Ascend Group Co., Ltd.",Bangkok,1st Financial Services Unicorn in ThailandAttractive BenefitFlexible Hours,4d ago
600,IT Analyst - SRT Red Line: Don Mueang - Up to 55K,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",ดอนเมือง,"3y+ in IT support, System admin, IT analystSkill in SQLGood command in English",22h ago
601,System Analyst - BTS Thonglor - up to 45K,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Klongtoey,2 y+ as system analystAble to work under pressure + within timelineAny graduation is welcomed,1d ago
602,Data Scientist,Kiatnakin Phatra Securities Public Company Limited,Huaykwang,High caliber Bachelor's/Master’s degree1-3 yrs of work experience as a Software DeveloperKnowledge of programming,5d ago
603,Analytics (AVP-VP) (Contract 12-18 months),United Overseas Bank (Thai) Public Company Limited (UOB),Klongtoey,Analytics SkillSAS programmingperform data mapping,6d ago
604,Business Analyst / System Analyst (Automotive Industry Exp),"NTT DATA (Thailand) Co., Ltd.",บางบ่อ,Automotive industryGood command in EnglishMultinational company,4d ago
605,เจ้าหน้าที่วิเคราะห์ข้อมูล,"Hokkee Supermart Co., Ltd.",ภาคตะวันออกเฉียงเหนือ,,3d ago
606,"Java Team Lead, Java Developer, Business Analyst, Project Coordinator, Project Manager, QA / Tester/Java Team Lead, Java Developer, Business Analyst, Project Coordinator, Project Manager, QA / Tester","Be One Success Ltd., Part.",Bangkok,,20h ago
607,Business Analyst (IT),Muang Thai Life Assurance Public Company Limited,Huaykwang,Organize information technology project.Manage and analyze business requirementsExperience Project Management.,6d ago
608,Financial Planning and Investment Executive,"Tree Roots Entertainment Group Co.,Ltd.",พระโขนง,,2h ago
609,Business Intelligence Specialist,PRTR,Pathumwan,Business Intelligence / Data IntelligenceInsurance IndustryGood Command of English,6d ago
610,Management Information System Assistant Manager/Manager (MIS),"Toyota Leasing (Thailand) Co., Ltd.",Bangrak,"Data Management, Data Analytics, Strategic PlanMIS, BI, BI report, MIS Report, DashboardCollection Strategic, Budgeting, Planning",5d ago
611,Credit Risk Officer,Bangkokbank (BBL),Bangrak,risk managementNew graduate is welcomedwalk 5 minutes walk from BTS/MRT,15h ago
612,Credit Risk Officer,Bangkokbank (BBL),Bangrak,risk managementNew graduate is welcomedwalk 5 minutes walk from BTS/MRT,15h ago
613,Business Analyst (Business Platform),ttb spark - TMBThanachart Bank or ttb,Jatuchak,Business AnalystIT Solution DesignBusiness Requirements,5d ago
614,Business Excellence Consultant,IQVIA Inc.,Bangrak,,4d ago
615,Business Intelligence Engineer (BI) (Mid-Senior) - DataX,"Siam Commercial Bank Public Co., Ltd. (Project 5)",Jatuchak,"Business Intelligence, BI solutionsSQL, Python, Excel, in-house tools, Power BIBAU dashboards, Azure",6d ago
616,Project Developer (Energy & Infrastructure projects),Gulf Energy Development Public Company Limited,Pathumwan,To join of the leading power & utilities producerTo be a part of FAST-GROWING companyDevelopment programs & career opportunities,15h ago
617,Data Engineer (Business Intelligence Team),Jet Commerce,ดินแดง,Build Data Platform with Team for ECommerceECommerce Enabler in SEA & ChinaHybrid Workplace,5d ago
618,Programmer PL/SQL,Central Digital,Bangrak,"Oracle Forms, Oracle Reports, Oracle BI3-5 years experience in program developmentExperience in Oracle EBS v.11i will be advantage",6h ago
619,"Data Engineer ((SQL, Tableau, Python, PL/SQL)) on site Chaengwattana, BTS Ari","Vanness Plus Consulting Co., Ltd.",Bangkok,,4d ago
620,Business Intelligence/Data Engineer,Playtorium Solutions Company Limited,Jatuchak,"Business IntelligenceData EngineerSQL, ETL, Python, R",7d ago
621,Associate Consultant (New Graduate are welcome),MFEC Public Company Limited,Jatuchak,New Grad are welcomeConducting research and work on analysisBuild and maintain relationships with clients,15h ago
622,Assistant Data Warehouse Development Manager,Ananda Development Public Company Limited,Klongtoey,data warehouseData Sciencevisualization relational Power BI,5d ago
623,Business Analyst,"The Prodigy (Thailand) Co., Ltd.",Bangkok,"At least 3 years of experience as Business AnalystExperience in application development, IT projectGood command in English",6d ago
624,Site Reliability Engineer - Data Platform (Junior to Mid-level),Kiatnakin Phatra Securities Public Company Limited,Huaykwang,Bachelor's degree or higher in Computer Science2 years or more of experience in DevOps2 years or more of experience with cloud service,4d ago
625,MIS,Generali Insurance (Thailand) Public Company Limited,Pathumwan,"Managment Information SystemMS Excel, SQL and Power BI.Data management and data quality",7d ago
626,"System Analyst, Business Analyst (Junior/Senior - Core Billing)","Yip In Tsoi & Co., Ltd.",Bangrak,"Bachelor's Degree in Computer Scienceexperienced in System Analyst, Business AnalystFinancial, Billing process",5d ago
627,Finance Analyst -Sr. Officer/Officer - Spirits Product Group,Thai Beverage Public Company Limited,Jatuchak,"Bachelor or Master degree in Accounting / Finance2 years experience of Accounting ManagementExperience in audit, budget planning and control",3d ago
628,Senior Market Research Analyst (Senior Research Consultant)/นักวิจัยการตลาด,"Custom Asia Co., Ltd.",Sathorn,Minimum 2 years of market research experiencePassionate about consumer behavior &brand strategyStrong knowledge of marketing research,3d ago
629,Business Analyst,"The Siam Gypsum Industry (Saraburi) Co., Ltd.",ดินแดง,Job Location: Next to MRT Praram 9Min. 3  years in financial analysisAccounting background is preferred.,6d ago
630,Business Analyst/ IT System Implementation (VP) (Contract 12-18 month),United Overseas Bank (Thai) Public Company Limited (UOB),Klongtoey,Banking product knowledgeIT System ImplementationBusiness Analyst,5d ago
631,Standard Analyst Officer/นักวิเคราะห์มาตรฐาน,Electronic Transactions Development Agency (ETDA),Huaykwang,สนใจเทคโนโลยีสารสนเทศ มาตรฐาน e-transactionsมีทักษะในการสรุปประเด็น วิเคราะห์ เขียนรายงานทักษะภาษาอังกฤษระดับดี,6d ago
632,System Analyst (base .NET Dev) – ทำงาน BTS Bearing,UTAC Thai Limited,Bangna,"Bachelor or higher, IT, Computer ScienceSystem Analysis / Business Analyst.NET applications, SOAP, JSON",1d ago
633,Data Engineer ( ETL ),"NTT DATA (Thailand) Co., Ltd. (Locus Telecommunication Inc., Ltd.)",Huaykwang,"3 year in ETL,R Python,Data GovernanceSQL/Store Procedure on Oracle/DB2 or other DBMSCW Tower, Ratchada Rd, Near MRT",5d ago
634,Financial Analyst,LINE Company (Thailand) Limited,Pathumwan,4-5 years in financial analysis and reportingKnowledge of IFRS and TASProficiency in Microsoft Excel,5d ago
635,UAT Lead,Bank of Ayudhya Public Company Limited (Ayudhya Capital Auto),Yannawa,Test plan & Work with project teamManagementMin. 3 years in UAT/Testing,20h ago
636,System Analyst,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),Phayathai,"Solution & software design, Develop, ImplementSystem requirements, Identify risk and impactLocation: BTS Ari-Saphan Khwai",4d ago
637,"Lead Generation, Team Lead (Project Management)","Shopee (Thailand) Co., Ltd.",Huaykwang,"3 yr. of exp. in Lead Generation / PM / BAManagerial team (subordinate: 7-10 hc)Problem solving, data analyst, excel are plus",15h ago
638,Financial planning and analysis ( 5 years + ) /  Supervisor - Assistant Manager,Select Service Partner Ltd.,Bangkok Area - Samutprakarn,Good knowledge in full P&L reviewFP&AStrong English Communication skills,20h ago
639,Data Governance (All levels),KASIKORNBANK PUBLIC COMPANY LIMITED,Phayathai,Data GovernanceData ArchitectureRisk Management,4d ago
640,Compensation Analyst for HR Global – CoE Rewards,Indorama Ventures Global Services Limited (Head Office),Wattana,International C & B for CoE RewardsExperience in Global C & B ConsultantMulti-national working environment,1d ago
641,Machine Learning Engineer,"Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,"statistical programming  (e.g., Python, R,pandas)database software (e.g., SQL, PySpark)hypothesis testing, regression, machine learning",5d ago
642,Supply Chain Analyst - Planner Demand,TE Connectivity Distribution (Thailand) Limited,Chachoengsao,"Material and demand Planning experienceAutomotive, and Electronic manufacturing businessChallenged by multi-national working environment",20h ago
643,Machine Learning Engineer,"Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,"statistical programming  (e.g., Python, R,pandas)database software (e.g., SQL, PySpark)hypothesis testing, regression, machine learning",5d ago
644,"Lead, Business Performance and Analytics (ShopeeFood)","ShopeePay (Thailand) Co., Ltd.",Huaykwang,Lead role with minimum 5-year work experiencePossess data analytics skillsPassionate in food delivery industry,6d ago
645,Shopee Apprentice Program 2023 - Thailand,"Shopee (Thailand) Co., Ltd.",Huaykwang,Bachelor’s/Master’s degree in any disciplineGood interpersonal and strong communication skillsSelf-starter,5d ago
646,Business Analyst,Coforge Limited,Jatuchak,"Business Analyst, Permanent jobMinimum of 2-year experience as Business AnalystGreat Benefit with Opportunity with Big Company",6d ago
647,Senior System Analyst,"Greenline Synergy Co., Ltd.",Suanluang,IT knowledge is all around you in everydayIntensive training course.Culture of Sharing and innovation.,5h ago
648,Senior Data Governance,KASIKORNBANK PUBLIC COMPANY LIMITED,Ratburana,Data ManagementData Governance and PolicyData Governance and Technical Skills,5d ago
649,Business Intelligence,"Tri Petch IT Solutions Co., Ltd.",Jatuchak,5 Day-Work / Hybrid Working / FlextimeHealth & Dental Insurance/ Excellent BenefitsMRT Phahonyothin / BTS Phahonyothin 24,6d ago
650,Forex Analyst/นักวิเคราะห์อัตราแลกเปลี่ยน,"VST ECS (Thailand) Co., Ltd.",Bangkok,Forex Analystfinancial forecasting and diagnosisวิเคราะห์อัตราแลกเปลี่ยน,3d ago
651,Business Process Improvement Specialist,"Ngernturbo Co., Ltd. / บริษัท เงินเทอร์โบ จำกัด",Prakket,"Challenging your limits and potentialAnalytical, Can-do attitude, Good problem-solvingKnowledge of SQL, Power BI or Programing language",20h ago
652,Supply Chain Analyst,"VENCOREX (THAILAND) CO., LTD.",Rayong,Supply ChainInboundLogistic,20h ago
653,Finance Analyst - Product,Lotus's,Beungkum,Establish performance reporting and managementAnalyze performance and collate plansExperience in financial analysis,4d ago
654,นักลงทุนสัมพันธ์,Better World Green Public Company Limited,Bangkapi,,20h ago
